position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s     L_dephasing_l   L_dephasing_s  
7.550000000e+00       -6.057416346e+01            -4.048627960e+00                7.468956363e+01                2.081038128e+00                      1.006677221e+01                    -6.254175329e+01                 2.162541921e+00           1.749722577e-01           
7.600000000e+00       -6.084807604e+01            -4.075263671e+00                7.501254589e+01                2.096874718e+00                      1.008920618e+01                    -6.282646500e+01                 2.228762865e+00           1.756162403e-01           
7.650000000e+00       -6.112101340e+01            -4.101899381e+00                7.533383480e+01                2.112744700e+00                      1.011092202e+01                    -6.311016808e+01                 2.302466839e+00           1.762405948e-01           
7.700000000e+00       -6.139301553e+01            -4.128535091e+00                7.565343845e+01                2.128648129e+00                      1.013188782e+01                    -6.339290249e+01                 2.384835584e+00           1.768444082e-01           
7.750000000e+00       -6.166412315e+01            -4.155170802e+00                7.597136491e+01                2.144585050e+00                      1.015207095e+01                    -6.367470890e+01                 2.477316438e+00           1.774267657e-01           
7.800000000e+00       -6.193437768e+01            -4.181806512e+00                7.628762222e+01                2.160555507e+00                      1.017143803e+01                    -6.395562869e+01                 2.581701526e+00           1.779867528e-01           
7.850000000e+00       -6.220382124e+01            -4.208442222e+00                7.660221838e+01                2.176559538e+00                      1.018995492e+01                    -6.423570393e+01                 2.700237029e+00           1.785234575e-01           
7.900000000e+00       -6.247249666e+01            -4.235077932e+00                7.691516136e+01                2.192597178e+00                      1.020758677e+01                    -6.451497741e+01                 2.835776813e+00           1.790359715e-01           
7.950000000e+00       -6.274044746e+01            -4.261713643e+00                7.722645909e+01                2.208668454e+00                      1.022429799e+01                    -6.479349265e+01                 2.992002921e+00           1.795233930e-01           
8.000000000e+00       -6.300771788e+01            -4.288349353e+00                7.753611946e+01                2.224773392e+00                      1.024005222e+01                    -6.507129384e+01                 3.173749570e+00           1.799848282e-01           
>>>>>>> Stashed changes
